Data;Precipitação (mm);Radiação Solar (W/m);Radiação Solar 1 (W/m);Radiação Solar 2 (W/m);Temperatura do Ar (ºC);Umidade do Ar (%);Velocidade do Vento (m/s);;;
2021-08-10 00:00:00;0.00;152.91;235.51;238.51;26.44;86.39;0.07;;;
2021-08-11 00:00:00;0.00;117.99;180.86;184.28;26.25;90.15;0.05;;;
2021-08-12 00:00:00;0.28;86.92;127.34;129.45;24.75;94.19;0.11;;;
2021-08-13 00:00:00;0.18;124.38;163.12;170.10;25.26;93.41;0.12;;;
2021-08-14 00:00:00;0.02;93.93;126.67;131.65;24.09;95.28;0.08;;;
2021-08-15 00:00:00;0.00;142.66;203.53;206.09;25.55;90.53;0.03;;;
2021-08-16 00:00:00;0.00;135.84;198.40;202.09;26.07;90.80;0.14;;;
2021-08-17 00:00:00;0.01;140.63;200.63;205.30;26.67;90.88;0.04;;;
2021-08-18 00:00:00;0.30;16.10;45.80;48.23;24.08;99.13;0.07;;;
2021-08-19 00:00:00;0.01;175.68;203.90;209.70;24.97;93.57;0.13;;;
2021-08-20 00:00:00;0.00;176.67;250.51;255.58;26.48;88.77;0.06;;;
2021-08-21 00:00:00;0.00;169.00;252.98;252.65;27.27;85.72;0.02;;;
2021-08-22 00:00:00;0.00;153.36;231.15;236.90;26.53;89.28;0.18;;;
2021-08-23 00:00:00;0.04;99.61;140.62;146.22;25.21;95.10;0.10;;;
2021-08-24 00:00:00;0.00;139.53;207.01;211.10;26.45;91.58;0.10;;;
2021-08-25 00:00:00;0.00;129.93;198.77;203.62;27.09;89.59;0.06;;;
2021-08-26 00:00:00;0.00;161.10;256.78;256.07;27.66;85.87;0.21;;;
2021-08-27 00:00:00;0.22;46.99;69.81;72.85;24.32;97.63;0.15;;;
2021-08-28 00:00:00;0.00;187.94;256.40;263.13;25.58;89.56;0.09;;;
2021-08-29 00:00:00;0.41;31.54;49.44;52.48;24.13;98.70;0.14;;;
2021-08-30 00:00:00;0.00;144.40;193.60;198.64;24.98;91.56;0.04;;;
2021-08-31 00:00:00;0.35;79.47;113.30;118.50;24.77;96.71;0.10;;;
2021-09-01 00:00:00;0.01;137.11;186.95;189.45;25.16;92.04;0.08;;;
2021-09-02 00:00:00;0.03;178.17;255.69;257.78;26.37;88.09;0.16;;;
2021-09-03 00:00:00;0.04;184.23;261.02;263.32;26.42;88.08;0.08;;;
2021-09-04 00:00:00;0.00;126.21;176.35;180.09;26.11;92.86;0.09;;;
2021-09-05 00:00:00;0.00;131.73;194.80;198.47;26.69;91.12;0.05;;;
2021-09-06 00:00:00;0.00;166.85;242.68;246.09;27.03;89.23;0.09;;;
2021-09-07 00:00:00;0.15;49.01;86.59;90.52;24.78;97.86;0.08;;;
2021-09-08 00:00:00;0.00;160.17;202.28;204.20;25.41;92.72;0.10;;;
2021-09-09 00:00:00;0.24;170.10;227.87;230.56;25.95;91.97;0.06;;;
2021-09-10 00:00:00;0.16;96.73;128.82;133.24;24.55;96.91;0.05;;;
2021-09-11 00:00:00;0.00;193.14;273.78;273.72;25.65;89.07;0.19;;;
2021-09-12 00:00:00;0.01;119.29;180.71;184.51;25.19;92.48;0.07;;;
2021-09-13 00:00:00;0.00;182.76;269.58;270.41;26.89;87.41;0.10;;;
