Data;Data;Precipitação (mm);Temperatura do Ar (ºC);Umidade do Ar (%);Velocidade do Vento (m/s)
jun;0,0613333333333333;106,893666666667;92,785;0,162;
jul;0,0474193548387097;109,01935483871;92,2803225806452;0,159354838709677;
ago;0,072258064516129;119,869032258064;92,0293548387097;0,0893548387096774;
set;0,0553333333333333;142,928;91,5233333333333;0,102333333333333;
out;0,0438709677419355;138,787419354839;91,5493548387097;0,0935483870967742;
nov;0,098;127,726333333333;93,432;0,0833333333333333;
dez;0,0796774193548387;115,01064516129;94,5538709677419;0,0661290322580645;
