"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"24/06/2021";"0000";"25,1";"94,0";"";"1,0";"50,0";"6,3";"3,50";"32,7";"";""
"24/06/2021";"1200";"23,0";"98,0";"";"1,0";"50,0";"11,3";"";"";"";"1,8"
"24/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"25/06/2021";"0000";"26,7";"91,0";"";"0,0";"0,0";"0,0";"5,70";"34,3";"";""
"25/06/2021";"1200";"23,2";"98,0";"";"1,0";"360,0";"2,5";"";"";"";"0,0"
"25/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"26/06/2021";"0000";"27,7";"88,0";"";"0,0";"0,0";"2,5";"3,80";"31,5";"";""
"26/06/2021";"1200";"23,6";"97,0";"";"0,0";"0,0";"3,8";"";"";"";"0,0"
"26/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"27/06/2021";"0000";"26,5";"94,0";"";"0,0";"0,0";"3,8";"";"";"";""
"27/06/2021";"1200";"";"";"";"";"";"";"";"";"";""
"27/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"28/06/2021";"0000";"";"";"";"";"";"";"4,70";"31,3";"";""
"28/06/2021";"1200";"22,2";"98,0";"";"1,0";"50,0";"6,3";"";"";"";"17,6"
"28/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"29/06/2021";"0000";"25,3";"92,0";"";"1,0";"50,0";"10,0";"3,80";"31,3";"";""
"29/06/2021";"1200";"23,2";"98,0";"";"1,0";"360,0";"7,5";"";"";"";"0,0"
"29/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"30/06/2021";"0000";"23,8";"97,0";"";"0,0";"0,0";"10,0";"0,00";"24,2";"";""
"30/06/2021";"1200";"21,0";"94,0";"";"2,1";"180,0";"10,0";"";"";"";"6,5"
"30/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"01/07/2021";"0000";"19,5";"93,0";"";"2,1";"180,0";"10,0";"1,60";"26,1";"";""
"01/07/2021";"1200";"18,7";"96,0";"";"1,0";"180,0";"10,0";"";"";"";"0,0"
"01/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"02/07/2021";"0000";"21,2";"89,0";"";"0,0";"0,0";"0,0";"5,70";"29,7";"";""
"02/07/2021";"1200";"18,9";"96,0";"";"0,0";"0,0";"5,0";"";"";"";"0,0"
"02/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"03/07/2021";"0000";"24,6";"87,0";"";"0,0";"0,0";"8,8";"7,10";"31,5";"";""
"03/07/2021";"1200";"20,6";"97,0";"";"1,0";"360,0";"7,5";"";"";"";"0,0"
"03/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"04/07/2021";"0000";"25,9";"88,0";"";"0,0";"0,0";"7,5";"";"";"";""
"04/07/2021";"1200";"";"";"";"";"";"";"";"";"";""
"04/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"05/07/2021";"0000";"";"";"";"";"";"";"2,30";"29,9";"";""
"05/07/2021";"1200";"22,4";"98,0";"";"1,0";"360,0";"10,0";"";"";"";"39,8"
"05/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"06/07/2021";"0000";"25,1";"91,0";"";"1,0";"360,0";"0,0";"3,30";"32,9";"";""
"06/07/2021";"1200";"22,8";"99,0";"";"0,0";"0,0";"10,0";"";"";"";"0,0"
"06/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"07/07/2021";"0000";"25,7";"91,0";"";"1,0";"90,0";"6,3";"4,90";"32,3";"";""
"07/07/2021";"1200";"23,6";"97,0";"";"0,0";"0,0";"7,5";"";"";"";"0,0"
"07/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"08/07/2021";"0000";"25,5";"94,0";"";"1,0";"180,0";"2,5";"6,10";"32,7";"";""
"08/07/2021";"1200";"23,4";"98,0";"";"0,0";"0,0";"7,5";"";"";"";"5,8"
"08/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"09/07/2021";"0000";"24,4";"94,0";"";"1,0";"140,0";"7,5";"7,50";"33,9";"";""
"09/07/2021";"1200";"22,8";"99,0";"";"1,0";"50,0";"7,5";"";"";"";"1,8"
"09/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"10/07/2021";"0000";"26,5";"87,0";"";"0,0";"0,0";"7,5";"2,40";"33,1";"";""
"10/07/2021";"1200";"23,4";"96,0";"";"0,0";"0,0";"7,5";"";"";"";"0,0"
"10/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"11/07/2021";"0000";"26,7";"85,0";"";"1,0";"50,0";"7,5";"";"";"";""
"11/07/2021";"1200";"";"";"";"";"";"";"";"";"";""
"11/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"12/07/2021";"0000";"";"";"";"";"";"";"0,60";"28,3";"";""
"12/07/2021";"1200";"24,2";"96,0";"";"0,0";"0,0";"10,0";"";"";"";"7,0"
"12/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"13/07/2021";"0000";"22,6";"98,0";"";"0,0";"0,0";"3,8";"6,50";"32,7";"";""
"13/07/2021";"1200";"22,4";"98,0";"";"1,0";"360,0";"7,5";"";"";"";"13,4"
"13/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"14/07/2021";"0000";"25,9";"94,0";"";"1,0";"50,0";"10,0";"5,60";"32,9";"";""
"14/07/2021";"1200";"22,6";"98,0";"";"0,0";"0,0";"7,5";"";"";"";"4,8"
"14/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"15/07/2021";"0000";"27,1";"87,0";"";"1,0";"360,0";"7,5";"3,80";"32,3";"";""
"15/07/2021";"1200";"23,6";"97,0";"";"1,0";"360,0";"8,8";"";"";"";"1,4"
"15/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"16/07/2021";"0000";"23,8";"95,0";"";"1,0";"360,0";"10,0";"7,10";"33,9";"";""
"16/07/2021";"1200";"22,2";"98,0";"";"0,0";"0,0";"7,5";"";"";"";"5,0"
"16/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"17/07/2021";"0000";"27,3";"86,0";"";"0,0";"0,0";"6,3";"5,10";"33,7";"";""
"17/07/2021";"1200";"23,4";"98,0";"";"0,0";"0,0";"8,8";"";"";"";"0,0"
"17/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"18/07/2021";"0000";"27,7";"88,0";"";"0,0";"0,0";"3,8";"";"";"";""
"18/07/2021";"1200";"";"";"";"";"";"";"";"";"";""
"18/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"19/07/2021";"0000";"";"";"";"";"";"";"3,80";"32,1";"";""
"19/07/2021";"1200";"23,4";"96,0";"";"1,0";"360,0";"8,8";"";"";"";"0,0"
"19/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
"20/07/2021";"0000";"25,9";"90,0";"";"1,0";"180,0";"7,5";"0,00";"26,5";"";""
"20/07/2021";"1200";"23,2";"98,0";"";"1,0";"180,0";"8,8";"";"";"";"20,6"
"20/07/2021";"1800";"";"";"";"";"";"";"";"";"";""
